"","Vez","Codigo","C1","C2","EP","C3","C4","EF","Prom","Sust","Final","Curso","Ciclo"
"32","1","138181",19,12,13,15,15,15,15,"ND",15,"Introduccion a la Ingenieria de Sistemas",1
"33","1","136053",17,4,3,18,9,2,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"34","1","139396",16,1,2,16,5,9,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"35","1","47251",15,19,14,10,16,15,15,"ND",15,"Introduccion a la Ingenieria de Sistemas",1
"36","1","139669",14,10,16,12,5,11,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"37","1","138990",13,11,12,10,8,9,10,"ND",10,"Introduccion a la Ingenieria de Sistemas",1
"38","1","140387",15,2,13,12,8,14,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"39","1","132592",15,2,9,18,3,7,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"40","1","139420",16,4,4,17,9,4,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"41","2","111943",13,12,1,10,9,13,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"42","1","138881",15,9,4,13,16,7,10,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"43","1","136009",17,12,10,15,16,8,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"44","1","136839",15,16,10,8,2,7,8,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"45","1","136762",18,11,14,18,4,12,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"46","1","139137",15,5,15,12,6,14,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"47","1","136900",13,0,6,14,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"48","1","140588",13,7,8,11,0,10,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"49","1","137193",13,10,10,11,8,2,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"50","1","140397",15,3,6,12,9,14,10,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"51","1","138717",13,12,8,11,10,11,10,"ND",10,"Introduccion a la Ingenieria de Sistemas",1
"52","1","140528",15,5,12,12,4,2,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"53","3","126927",13,0,8,12,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"54","1","138234",17,6,17,14,11,7,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"55","1","137539",17,7,7,14,11,12,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"56","1","140557",15,0,11,12,10,6,9,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"57","1","140286",13,7,7,12,9,4,8,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"58","1","136067",18,17,18,15,11,18,16,"ND",16,"Introduccion a la Ingenieria de Sistemas",1
"59","1","137823",16,6,6,15,6,2,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"60","1","138758",16,12,10,14,16,14,14,"ND",14,"Introduccion a la Ingenieria de Sistemas",1
"61","1","136926",16,8,11,17,4,13,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"62","2","123834",0,9,9,10,5,9,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"63","1","136142",17,5,5,15,1,1,5,"ND",5,"Introduccion a la Ingenieria de Sistemas",1
"64","1","137562",16,12,10,13,9,13,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"65","1","136574",16,13,13,13,18,9,13,"ND",13,"Introduccion a la Ingenieria de Sistemas",1
"66","1","135232",18,3,4,15,4,5,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"67","1","138542",14,8,11,14,9,11,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"68","1","140467",15,8,14,13,13,11,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"69","1","126285",16,19,12,18,16,12,15,"ND",15,"Introduccion a la Ingenieria de Sistemas",1
"70","1","138588",18,13,13,14,20,15,16,"ND",16,"Introduccion a la Ingenieria de Sistemas",1
"71","1","135996",18,13,9,16,15,4,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"72","1","127181",0,5,6,9,11,7,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"73","1","140980",18,16,17,15,20,18,18,"ND",18,"Introduccion a la Ingenieria de Sistemas",1
"74","1","136740",15,10,7,15,8,13,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"75","1","136546",19,13,17,16,14,4,13,"ND",13,"Introduccion a la Ingenieria de Sistemas",1
"76","1","138148",19,12,7,15,20,10,13,"ND",13,"Introduccion a la Ingenieria de Sistemas",1
"77","1","136279",0,1,9,7,3,8,6,"ND",6,"Introduccion a la Ingenieria de Sistemas",1
"78","1","135575",14,8,14,14,5,12,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"79","1","136955",16,2,5,18,4,12,9,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"80","1","135385",7,1,3,15,0,13,7,"8",8,"Introduccion a la Ingenieria de Sistemas",1
"81","1","135192",18,4,4,8,4,12,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"82","1","139036",17,2,7,15,0,4,6,"ND",6,"Introduccion a la Ingenieria de Sistemas",1
"83","1","136080",16,13,18,15,6,6,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"84","1","139413",14,6,6,12,1,6,6,"ND",6,"Introduccion a la Ingenieria de Sistemas",1
"85","1","136634",16,14,10,18,17,19,16,"ND",16,"Introduccion a la Ingenieria de Sistemas",1
"86","1","140274",13,12,12,14,10,13,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"87","1","140869",16,12,16,15,10,7,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"88","1","136100",18,17,10,15,6,10,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"89","1","136734",17,15,17,16,19,6,14,"ND",14,"Introduccion a la Ingenieria de Sistemas",1
"90","1","136981",13,12,6,11,12,15,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"91","1","140805",13,0,9,10,9,3,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"92","1","137109",13,4,5,11,0,5,5,"ND",5,"Introduccion a la Ingenieria de Sistemas",1
"93","1","138592",13,7,6,11,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"94","1","136776",13,9,9,11,14,11,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"95","1","133194",18,6,12,15,16,15,14,"ND",14,"Introduccion a la Ingenieria de Sistemas",1
"96","1","137978",13,4,4,10,0,2,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"97","1","139016",13,11,12,14,6,11,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"98","2","93667",19,14,18,19,15,13,16,"ND",16,"Introduccion a la Ingenieria de Sistemas",1
"99","1","139782",16,10,15,12,13,16,14,"ND",14,"Introduccion a la Ingenieria de Sistemas",1
"100","1","133993",17,3,2,6,0,6,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"101","1","139451",16,5,6,16,0,7,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"102","2","78638",15,11,10,13,13,9,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"103","1","133946",17,5,8,17,8,15,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"104","1","132138",16,11,15,17,9,9,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"105","1","133279",17,1,2,16,0,2,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"106","2","43210",14,14,14,12,9,15,13,"ND",13,"Introduccion a la Ingenieria de Sistemas",1
"107","1","136943",16,12,11,15,10,12,12,"ND",12,"Introduccion a la Programacion",1
"108","1","138904",12,13,10,12,12,3,9,"ND",9,"Introduccion a la Programacion",1
"109","1","139083",16,17,13,15,17,15,15,"ND",15,"Introduccion a la Programacion",1
"110","1","135888",14,15,11,12,14,13,13,"ND",13,"Introduccion a la Programacion",1
"111","1","124610",11,9,9,10,9,10,10,"11",11,"Introduccion a la Programacion",1
"112","1","136749",15,16,13,14,15,12,14,"ND",14,"Introduccion a la Programacion",1
"113","1","138223",10,10,9,14,11,9,10,"11",11,"Introduccion a la Programacion",1
"114","1","140684",14,10,10,11,12,9,11,"ND",11,"Introduccion a la Programacion",1
"115","1","139429",15,13,8,14,14,10,12,"ND",12,"Introduccion a la Programacion",1
"116","1","139655",13,14,11,14,12,10,12,"ND",12,"Introduccion a la Programacion",1
"117","1","134691",16,12,11,14,11,14,13,"ND",13,"Introduccion a la Programacion",1
"118","1","139558",14,12,9,14,12,11,12,"ND",12,"Introduccion a la Programacion",1
"119","1","137589",10,8,8,12,11,9,10,"ND",10,"Introduccion a la Programacion",1
"120","1","138042",14,13,8,14,9,10,10,"11",11,"Introduccion a la Programacion",1
"121","1","136442",17,15,15,11,12,13,13,"ND",13,"Introduccion a la Programacion",1
"122","1","109582",11,11,7,10,0,0,5,"ND",5,"Introduccion a la Programacion",1
"123","1","140823",12,7,7,12,12,7,9,"ND",9,"Introduccion a la Programacion",1
"124","1","136190",14,10,11,9,10,6,9,"ND",9,"Introduccion a la Programacion",1
"125","1","138538",14,13,9,14,11,7,10,"ND",10,"Introduccion a la Programacion",1
"126","1","139947",15,12,12,13,14,14,13,"ND",13,"Introduccion a la Programacion",1
"127","1","136852",17,17,16,17,19,16,17,"ND",17,"Introduccion a la Programacion",1
"128","1","122718",15,10,7,12,11,10,10,"11",11,"Introduccion a la Programacion",1
"129","1","136804",14,10,9,12,0,7,7,"ND",7,"Introduccion a la Programacion",1
"130","1","137803",18,14,14,15,16,13,15,"ND",15,"Introduccion a la Programacion",1
"131","1","138349",17,14,11,14,15,10,13,"ND",13,"Introduccion a la Programacion",1
"132","1","136583",15,4,6,10,9,0,6,"ND",6,"Introduccion a la Programacion",1
"133","1","136046",15,10,9,14,13,12,12,"ND",12,"Introduccion a la Programacion",1
"134","1","140166",15,14,11,12,12,9,11,"ND",11,"Introduccion a la Programacion",1
"135","1","137583",15,11,11,14,15,12,13,"ND",13,"Introduccion a la Programacion",1
"136","1","133300",11,12,9,14,13,10,11,"ND",11,"Introduccion a la Programacion",1
"137","1","138048",15,15,10,14,15,9,12,"ND",12,"Introduccion a la Programacion",1
"138","1","135940",15,12,12,15,13,11,13,"ND",13,"Introduccion a la Programacion",1
"139","1","138181",18,16,14,14,16,14,15,"ND",15,"Introduccion a la Programacion",1
"140","1","136053",14,10,10,15,11,10,11,"ND",11,"Introduccion a la Programacion",1
"141","1","139396",15,11,8,13,10,6,9,"11",11,"Introduccion a la Programacion",1
"142","1","47251",13,15,12,11,14,14,13,"ND",13,"Introduccion a la Programacion",1
"143","1","139669",12,12,14,13,12,10,12,"ND",12,"Introduccion a la Programacion",1
"144","1","138990",11,9,10,11,12,9,10,"11",11,"Introduccion a la Programacion",1
"145","1","140387",14,10,12,12,12,13,12,"ND",12,"Introduccion a la Programacion",1
"146","1","132592",15,12,10,15,12,9,11,"ND",11,"Introduccion a la Programacion",1
"147","1","139420",15,12,12,15,13,11,13,"ND",13,"Introduccion a la Programacion",1
"148","2","111943",11,13,10,9,11,10,10,"ND",10,"Introduccion a la Programacion",1
"149","1","138881",16,10,9,12,14,11,12,"ND",12,"Introduccion a la Programacion",1
"150","1","136009",16,14,14,14,16,14,15,"ND",15,"Introduccion a la Programacion",1
"151","1","136839",13,11,7,12,11,7,9,"ND",9,"Introduccion a la Programacion",1
"152","1","136762",17,13,12,16,15,12,14,"ND",14,"Introduccion a la Programacion",1
"153","1","139137",14,8,7,11,11,10,10,"ND",10,"Introduccion a la Programacion",1
"154","1","136900",12,4,5,10,11,4,7,"ND",7,"Introduccion a la Programacion",1
"155","1","140588",13,10,8,12,7,10,9,"ND",9,"Introduccion a la Programacion",1
"156","1","137193",13,10,7,10,0,0,5,"ND",5,"Introduccion a la Programacion",1
"157","1","140397",12,5,10,11,10,7,9,"11",11,"Introduccion a la Programacion",1
"158","1","138717",12,13,10,11,12,11,11,"ND",11,"Introduccion a la Programacion",1
"159","1","140528",14,10,7,11,12,3,9,"11",11,"Introduccion a la Programacion",1
"160","3","126927",12,14,9,12,7,0,7,"ND",7,"Introduccion a la Programacion",1
"161","1","138234",15,14,13,16,14,12,14,"ND",14,"Introduccion a la Programacion",1
"162","1","137539",15,12,8,13,12,10,11,"ND",11,"Introduccion a la Programacion",1
"163","1","140557",14,7,6,12,10,8,9,"11",11,"Introduccion a la Programacion",1
"164","1","140286",12,10,10,10,12,4,9,"11",11,"Introduccion a la Programacion",1
"165","1","136067",19,19,20,18,19,20,19,"ND",19,"Introduccion a la Programacion",1
"166","1","137823",16,12,9,13,11,7,10,"11",11,"Introduccion a la Programacion",1
"167","1","138758",15,15,14,14,15,16,15,"ND",15,"Introduccion a la Programacion",1
"168","1","136926",15,14,13,14,13,11,13,"ND",13,"Introduccion a la Programacion",1
"169","2","123834",10,10,11,10,10,9,10,"ND",10,"Introduccion a la Programacion",1
"170","1","136142",15,15,10,14,12,9,12,"ND",12,"Introduccion a la Programacion",1
"171","1","137562",14,14,9,13,12,9,11,"ND",11,"Introduccion a la Programacion",1
"172","1","136574",15,14,11,12,13,12,12,"ND",12,"Introduccion a la Programacion",1
"173","1","135232",16,12,8,12,12,9,11,"ND",11,"Introduccion a la Programacion",1
"174","1","138542",10,11,7,13,13,10,11,"ND",11,"Introduccion a la Programacion",1
"175","1","140467",15,12,11,12,14,10,12,"ND",12,"Introduccion a la Programacion",1
"176","1","126285",11,14,10,13,12,9,11,"ND",11,"Introduccion a la Programacion",1
"177","1","138588",18,18,18,16,17,19,18,"ND",18,"Introduccion a la Programacion",1
"178","1","135996",17,15,9,14,13,9,12,"ND",12,"Introduccion a la Programacion",1
"179","1","127181",4,10,8,10,11,9,9,"ND",9,"Introduccion a la Programacion",1
"180","1","140980",16,15,16,16,18,17,17,"ND",17,"Introduccion a la Programacion",1
"181","1","136740",14,12,10,15,12,12,12,"ND",12,"Introduccion a la Programacion",1
"182","1","136546",17,16,14,14,14,14,14,"ND",14,"Introduccion a la Programacion",1
"183","1","138148",16,14,10,15,16,12,13,"ND",13,"Introduccion a la Programacion",1
"184","1","136279",0,5,4,10,10,9,8,"ND",8,"Introduccion a la Programacion",1
"185","1","135575",10,9,4,11,11,8,9,"ND",9,"Introduccion a la Programacion",1
"186","1","136955",14,14,8,16,12,10,12,"ND",12,"Introduccion a la Programacion",1
"187","1","135385",10,12,5,12,11,5,9,"ND",9,"Introduccion a la Programacion",1
"188","1","135192",16,10,8,12,12,10,11,"ND",11,"Introduccion a la Programacion",1
"189","1","139036",15,13,11,14,12,4,10,"ND",10,"Introduccion a la Programacion",1
"190","1","136080",16,15,15,14,14,13,14,"ND",14,"Introduccion a la Programacion",1
"191","1","139413",13,8,4,10,7,10,8,"ND",8,"Introduccion a la Programacion",1
"192","1","136634",15,13,12,15,15,14,14,"ND",14,"Introduccion a la Programacion",1
"193","1","140274",15,14,14,14,15,14,14,"ND",14,"Introduccion a la Programacion",1
"194","1","140869",14,13,10,14,12,11,12,"ND",12,"Introduccion a la Programacion",1
"195","1","136100",16,17,14,14,13,13,14,"ND",14,"Introduccion a la Programacion",1
"196","1","136734",16,12,12,14,13,11,13,"ND",13,"Introduccion a la Programacion",1
"197","1","136981",14,14,12,10,14,14,13,"ND",13,"Introduccion a la Programacion",1
"198","1","140805",11,5,3,10,10,8,8,"9",9,"Introduccion a la Programacion",1
"199","1","137109",10,11,2,10,7,6,7,"ND",7,"Introduccion a la Programacion",1
"200","1","138592",9,8,6,0,0,0,2,"ND",4,"Introduccion a la Programacion",1
"201","1","136776",12,10,10,12,12,9,11,"ND",11,"Introduccion a la Programacion",1
"202","1","133194",14,14,12,13,13,13,13,"ND",13,"Introduccion a la Programacion",1
"203","1","137978",3,0,5,10,8,4,6,"ND",6,"Introduccion a la Programacion",1
"204","1","139016",14,13,11,13,12,9,11,"ND",11,"Introduccion a la Programacion",1
"205","2","93667",15,14,15,14,15,13,14,"ND",14,"Introduccion a la Programacion",1
"206","1","139782",15,13,16,13,14,15,14,"ND",14,"Introduccion a la Programacion",1
"207","1","133993",15,10,4,10,12,8,9,"ND",9,"Introduccion a la Programacion",1
"208","1","139451",14,11,8,14,10,9,10,"ND",10,"Introduccion a la Programacion",1
"209","2","78638",10,12,8,12,12,10,11,"ND",11,"Introduccion a la Programacion",1
"210","1","133946",14,12,4,14,12,9,10,"11",11,"Introduccion a la Programacion",1
"211","1","132138",13,14,12,14,13,13,13,"ND",13,"Introduccion a la Programacion",1
"212","1","133279",14,11,6,14,9,7,9,"ND",9,"Introduccion a la Programacion",1
"213","2","43210",15,14,12,14,14,13,13,"ND",13,"Introduccion a la Programacion",1
"214","1","136943",12,11,14,13,14,13,13,"ND",13,"Lenguaje",1
"215","1","138904",12,11,13,13,12,14,13,"ND",13,"Lenguaje",1
"216","1","139083",13,14,15,14,13,15,14,"ND",14,"Lenguaje",1
"217","1","135888",12,15,15,13,14,14,14,"ND",14,"Lenguaje",1
"218","1","124610",11,14,15,13,15,15,14,"ND",14,"Lenguaje",1
"219","1","136749",13,12,15,12,13,15,14,"ND",14,"Lenguaje",1
"220","1","138223",12,11,12,12,10,12,11,"ND",11,"Lenguaje",1
"221","1","140684",12,13,15,12,13,13,13,"ND",13,"Lenguaje",1
"222","1","139429",11,13,13,14,13,14,13,"ND",13,"Lenguaje",1
"223","1","139655",13,10,12,14,12,12,12,"ND",12,"Lenguaje",1
"224","1","134691",13,12,15,14,12,13,13,"ND",13,"Lenguaje",1
"225","1","139558",12,11,13,12,12,12,12,"ND",12,"Lenguaje",1
"226","1","137589",12,12,13,13,13,12,13,"ND",13,"Lenguaje",1
"227","1","138042",12,13,13,12,12,11,12,"ND",12,"Lenguaje",1
"228","1","136442",14,11,14,12,12,14,13,"ND",13,"Lenguaje",1
"229","1","140823",10,12,9,11,11,10,10,"ND",10,"Lenguaje",1
"230","1","136190",11,9,12,11,13,10,11,"ND",11,"Lenguaje",1
"231","1","138538",9,13,11,13,10,10,11,"ND",11,"Lenguaje",1
"232","1","139947",12,14,15,12,13,14,14,"ND",14,"Lenguaje",1
"233","1","136852",13,14,15,14,14,14,14,"ND",14,"Lenguaje",1
"234","1","122718",9,10,12,11,8,11,10,"11",11,"Lenguaje",1
"235","1","136804",11,9,11,10,10,11,10,"ND",10,"Lenguaje",1
"236","1","137803",13,13,16,15,15,16,15,"ND",15,"Lenguaje",1
"237","1","138349",13,14,12,13,13,14,13,"ND",13,"Lenguaje",1
"238","1","136583",0,10,9,11,8,10,9,"ND",9,"Lenguaje",1
"239","1","136046",11,13,13,13,14,15,14,"ND",14,"Lenguaje",1
"240","1","140166",12,14,14,12,13,13,13,"ND",13,"Lenguaje",1
"241","1","137583",13,14,13,12,13,12,13,"ND",13,"Lenguaje",1
"242","1","133300",12,13,15,15,12,12,13,"ND",13,"Lenguaje",1
"243","1","138048",12,12,13,11,12,13,12,"ND",12,"Lenguaje",1
"244","1","135940",11,11,12,15,15,15,14,"ND",14,"Lenguaje",1
"245","1","138181",13,14,15,14,13,14,14,"ND",14,"Lenguaje",1
"246","1","136053",9,11,12,11,7,9,10,"ND",10,"Lenguaje",1
"247","1","139396",13,14,14,12,14,12,13,"ND",13,"Lenguaje",1
"248","1","47251",11,14,12,10,12,14,12,"ND",12,"Lenguaje",1
"249","1","139669",13,14,13,11,12,12,12,"ND",12,"Lenguaje",1
"250","1","138990",9,11,12,13,13,12,12,"ND",12,"Lenguaje",1
"251","1","140387",12,11,13,14,12,12,12,"ND",12,"Lenguaje",1
"252","1","132592",13,11,14,12,14,13,13,"ND",13,"Lenguaje",1
"253","1","139420",13,13,13,11,14,13,13,"ND",13,"Lenguaje",1
"254","1","138881",12,12,12,13,11,12,12,"ND",12,"Lenguaje",1
"255","1","136009",12,14,15,15,13,12,14,"ND",14,"Lenguaje",1
"256","1","136839",11,11,13,12,12,13,12,"ND",12,"Lenguaje",1
"257","1","136762",12,14,14,15,14,15,14,"ND",14,"Lenguaje",1
"258","1","139137",11,10,11,14,13,12,12,"ND",12,"Lenguaje",1
"259","1","136900",10,12,9,14,11,6,10,"ND",10,"Lenguaje",1
"260","1","140588",4,12,12,10,5,0,7,"ND",7,"Lenguaje",1
"261","1","137193",12,7,11,10,12,7,10,"ND",10,"Lenguaje",1
"262","1","140397",13,13,12,12,12,15,13,"ND",13,"Lenguaje",1
"263","1","138717",12,13,12,15,13,14,13,"ND",13,"Lenguaje",1
"264","1","140528",13,12,12,12,14,15,13,"ND",13,"Lenguaje",1
"265","1","138234",11,14,14,14,13,13,13,"ND",13,"Lenguaje",1
"266","1","137539",12,13,11,14,12,12,12,"ND",12,"Lenguaje",1
"267","1","140557",9,11,11,12,4,13,10,"11",11,"Lenguaje",1
"268","1","140286",11,12,14,12,14,15,14,"ND",14,"Lenguaje",1
"269","1","136067",11,11,16,14,14,14,14,"ND",14,"Lenguaje",1
"270","1","137823",12,10,12,14,14,12,13,"ND",13,"Lenguaje",1
"271","1","138758",13,14,15,12,13,14,14,"ND",14,"Lenguaje",1
"272","1","136926",12,11,15,14,15,12,14,"ND",14,"Lenguaje",1
"273","1","136142",9,13,13,11,12,12,12,"ND",12,"Lenguaje",1
"274","1","137562",13,14,13,15,14,14,14,"ND",14,"Lenguaje",1
"275","1","136574",12,12,13,13,13,13,13,"ND",13,"Lenguaje",1
"276","1","135232",12,14,12,13,14,13,13,"ND",13,"Lenguaje",1
"277","1","138542",11,12,15,12,14,13,13,"ND",13,"Lenguaje",1
"278","1","140467",11,14,12,15,13,12,13,"ND",13,"Lenguaje",1
"279","1","126285",13,12,13,15,12,15,13,"ND",13,"Lenguaje",1
"280","1","138588",10,10,17,15,15,15,15,"ND",15,"Lenguaje",1
"281","1","135996",11,14,12,14,15,12,13,"ND",13,"Lenguaje",1
"282","1","127181",10,14,13,14,12,11,12,"ND",12,"Lenguaje",1
"283","1","140980",13,13,14,12,13,14,13,"ND",13,"Lenguaje",1
"284","1","136740",12,12,15,12,12,15,13,"ND",13,"Lenguaje",1
"285","1","136546",12,12,13,12,12,14,13,"ND",13,"Lenguaje",1
"286","1","138148",11,12,13,13,13,12,13,"ND",13,"Lenguaje",1
"287","1","136279",13,14,13,13,14,14,14,"ND",14,"Lenguaje",1
"288","1","135575",13,11,12,15,13,15,13,"ND",13,"Lenguaje",1
"289","1","136955",12,12,15,15,13,14,14,"ND",14,"Lenguaje",1
"290","1","135385",13,11,14,12,13,15,13,"ND",13,"Lenguaje",1
"291","1","135192",11,12,12,13,12,14,13,"ND",13,"Lenguaje",1
"292","1","139036",12,14,15,13,15,13,14,"ND",14,"Lenguaje",1
"293","1","136080",13,14,14,13,12,12,13,"ND",13,"Lenguaje",1
"294","1","139413",11,14,14,12,15,15,14,"ND",14,"Lenguaje",1
"295","1","136634",13,13,14,15,14,13,14,"ND",14,"Lenguaje",1
"296","1","140274",12,13,14,13,15,15,14,"ND",14,"Lenguaje",1
"297","1","140869",11,13,14,14,13,13,13,"ND",13,"Lenguaje",1
"298","1","136100",11,11,15,13,15,15,14,"ND",14,"Lenguaje",1
"299","1","136734",12,12,14,15,14,14,14,"ND",14,"Lenguaje",1
"300","1","136981",12,11,12,13,15,14,13,"ND",13,"Lenguaje",1
"301","1","140805",9,12,13,11,13,14,13,"ND",13,"Lenguaje",1
"302","1","137109",13,11,14,12,12,12,12,"ND",12,"Lenguaje",1
"303","1","138592",12,11,15,15,14,14,14,"ND",14,"Lenguaje",1
"304","1","136776",12,13,15,12,14,15,14,"ND",14,"Lenguaje",1
"305","1","133194",12,10,13,14,12,11,12,"ND",12,"Lenguaje",1
"306","1","137978",11,14,14,12,12,13,13,"ND",13,"Lenguaje",1
"307","1","139016",13,10,14,12,14,13,13,"ND",13,"Lenguaje",1
"308","1","139782",12,13,13,12,15,14,14,"ND",14,"Lenguaje",1
"309","1","133993",12,14,12,12,14,12,13,"ND",13,"Lenguaje",1
"310","1","139451",12,12,12,13,12,12,12,"ND",12,"Lenguaje",1
"311","1","133946",11,11,13,12,11,9,11,"ND",11,"Lenguaje",1
"312","1","132138",11,11,14,13,12,12,12,"ND",12,"Lenguaje",1
"313","1","133279",12,13,15,15,14,12,14,"ND",14,"Lenguaje",1
"314","1","136943",13,12,14,14,13,12,13,"ND",13,"Matematica Basica",1
"315","1","138904",11,11,12,14,12,11,12,"ND",12,"Matematica Basica",1
"316","1","139083",12,14,12,15,14,14,14,"ND",14,"Matematica Basica",1
